"","treat","age","education","black","hispanic","married","income.before1","income.before2","income.after","hsdegree"
"1",1,37,11,1,0,1,0,0,9930.046,0
"2",1,22,9,0,1,0,0,0,3595.894,0
"3",1,30,12,1,0,0,0,0,24909.45,1
"4",1,27,11,1,0,0,0,0,7506.146,0
"5",1,33,8,1,0,0,0,0,289.7899,0
"6",1,22,9,1,0,0,0,0,4056.494,0
"7",1,23,12,1,0,0,0,0,0,1
"8",1,32,11,1,0,0,0,0,8472.158,0
"9",1,22,16,1,0,0,0,0,2164.022,1
"10",1,33,12,0,0,1,0,0,12418.07,1
"11",1,19,9,1,0,0,0,0,8173.908,0
"12",1,21,13,1,0,0,0,0,17094.64,1
"13",1,18,8,1,0,0,0,0,0,0
"14",1,27,10,1,0,1,0,0,18739.93,0
"15",1,17,7,1,0,0,0,0,3023.879,0
"16",1,19,10,1,0,0,0,0,3228.503,0
"17",1,27,13,1,0,0,0,0,14581.86,1
"18",1,23,10,1,0,0,0,0,7693.4,0
"19",1,40,12,1,0,0,0,0,10804.32,1
"20",1,26,12,1,0,0,0,0,10747.35,1
"21",1,23,11,1,0,0,0,0,0,0
"22",1,41,14,0,0,0,0,0,5149.501,1
"23",1,38,9,0,0,0,0,0,6408.95,0
"24",1,24,11,1,0,0,0,0,1991.4,0
"25",1,18,10,1,0,0,0,0,11163.17,0
"26",1,29,11,1,0,1,0,0,9642.999,0
"27",1,25,11,1,0,0,0,0,9897.049,0
"28",1,27,10,0,1,0,0,0,11142.87,0
"29",1,17,10,1,0,0,0,0,16218.04,0
"30",1,24,11,1,0,0,0,0,995.7002,0
"31",1,17,10,1,0,0,0,0,0,0
"32",1,48,4,1,0,0,0,0,6551.592,0
"33",1,25,11,1,0,1,0,0,1574.424,0
"34",1,20,12,1,0,0,0,0,0,1
"35",1,25,12,1,0,0,0,0,3191.753,1
"36",1,42,14,1,0,0,0,0,20505.93,1
"37",1,25,5,1,0,0,0,0,6181.88,0
"38",1,23,12,1,0,1,0,0,5911.551,1
"39",1,46,8,1,0,1,0,0,3094.156,0
"40",1,24,10,1,0,0,0,0,0,0
"41",1,21,12,1,0,0,0,0,1254.582,1
"42",1,19,9,0,0,0,0,0,13188.83,0
"43",1,17,8,1,0,0,0,0,8061.485,0
"44",1,18,8,0,1,1,0,0,2787.96,0
"45",1,20,11,1,0,0,0,0,3972.54,0
"46",1,25,11,1,0,1,0,0,0,0
"47",1,17,8,1,0,0,0,0,0,0
"48",1,17,9,1,0,0,0,0,0,0
"49",1,25,5,1,0,0,0,0,12187.41,0
"50",1,23,12,1,0,0,0,0,4843.176,1
"51",1,28,8,1,0,0,0,0,0,0
"52",1,31,11,1,0,1,0,0,8087.487,0
"53",1,18,11,1,0,0,0,0,0,0
"54",1,25,12,1,0,0,0,0,2348.973,1
"55",1,30,11,1,0,1,0,0,590.7818,0
"56",1,17,10,1,0,0,0,0,0,0
"57",1,37,9,1,0,0,0,0,1067.506,0
"58",1,41,4,1,0,1,0,0,7284.986,0
"59",1,42,14,1,0,1,0,0,13167.52,1
"60",1,22,11,0,0,0,0,0,1048.432,0
"61",1,17,8,1,0,0,0,0,0,0
"62",1,29,8,1,0,0,0,0,1923.938,0
"63",1,35,10,1,0,0,0,0,4666.236,0
"64",1,27,11,1,0,0,0,0,549.2984,0
"65",1,29,4,1,0,0,0,0,762.9146,0
"66",1,28,9,1,0,0,0,0,10694.29,0
"67",1,27,11,1,0,0,0,0,0,0
"68",1,23,7,0,0,0,0,0,0,0
"69",1,45,5,1,0,1,0,0,8546.715,0
"70",1,29,13,1,0,0,0,0,7479.656,1
"71",1,27,9,1,0,0,0,0,0,0
"72",1,46,13,1,0,0,0,0,647.2046,1
"73",1,18,6,1,0,0,0,0,0,0
"74",1,25,12,1,0,0,0,0,11965.81,1
"75",1,28,15,1,0,0,0,0,9598.541,1
"76",1,25,11,0,0,0,0,0,18783.35,0
"77",1,22,12,1,0,0,0,0,18678.08,1
"78",1,21,9,1,0,0,0,0,0,0
"79",1,40,11,1,0,0,0,0,23005.6,0
"80",1,22,11,1,0,0,0,0,6456.697,0
"81",1,25,12,1,0,0,0,0,0,1
"82",1,18,12,1,0,0,0,0,2321.107,1
"83",1,38,12,0,0,0,0,0,4941.849,1
"84",1,27,13,1,0,0,0,0,0,1
"85",1,27,8,1,0,0,0,0,0,0
"86",1,38,11,1,0,0,0,0,0,0
"87",1,23,8,0,1,0,0,0,3881.284,0
"88",1,26,11,1,0,0,0,0,17230.96,0
"89",1,21,12,0,0,0,0,0,8048.603,1
"90",1,25,8,1,0,0,0,0,0,0
"91",1,31,11,1,0,1,0,0,14509.93,0
"92",1,17,10,1,0,0,0,0,0,0
"93",1,25,11,1,0,0,0,0,0,0
"94",1,21,12,1,0,0,0,0,9983.784,1
"95",1,44,11,1,0,0,0,0,0,0
"96",1,25,12,0,0,0,0,0,5587.503,1
"97",1,18,9,1,0,0,0,0,4482.845,0
"98",1,42,12,1,0,0,0,0,2456.153,1
"99",1,25,10,1,0,0,0,0,0,0
"100",1,31,9,0,1,0,0,0,26817.6,0
"101",1,24,10,1,0,0,0,0,0,0
"102",1,26,10,1,0,0,0,0,9265.788,0
"103",1,25,11,1,0,0,0,0,485.2298,0
"104",1,18,11,1,0,0,0,0,4814.627,0
"105",1,19,11,1,0,0,0,0,7458.105,0
"106",1,43,9,1,0,0,0,0,0,0
"107",1,27,13,1,0,0,0,0,34099.28,1
"108",1,17,9,1,0,0,0,0,1953.268,0
"109",1,30,11,1,0,0,0,0,0,0
"110",1,26,10,1,0,1,2027.999,0,0,0
"111",1,20,9,1,0,0,6083.994,0,8881.665,0
"112",1,17,9,0,1,0,445.1704,74.34345,6210.67,0
"113",1,20,12,1,0,0,989.2678,165.2077,0,1
"114",1,18,11,1,0,0,858.2543,214.5636,929.8839,0
"115",1,27,12,1,0,1,3670.872,334.0493,0,1
"116",1,21,12,0,0,0,3670.872,334.0494,12558.02,1
"117",1,27,12,1,0,0,2143.413,357.9499,22163.25,1
"118",1,20,12,1,0,0,0,377.5686,1652.637,1
"119",1,19,10,1,0,0,0,385.2741,8124.715,0
"120",1,23,12,1,0,0,5506.308,501.0741,671.3318,1
"121",1,29,14,1,0,0,0,679.6734,17814.98,1
"122",1,18,10,1,0,0,0,798.9079,9737.154,0
"123",1,19,9,1,0,0,0,798.9079,17685.18,0
"124",1,27,13,0,0,1,9381.566,853.7225,0,1
"125",1,18,11,0,0,0,3678.231,919.5579,4321.705,0
"126",1,27,9,1,0,1,0,934.4454,1773.423,0
"127",1,22,12,1,0,0,5605.852,936.1773,0,1
"128",1,23,10,1,0,1,0,936.4386,11233.26,0
"129",1,23,12,0,1,0,9385.74,1117.439,559.4432,1
"130",1,20,11,1,0,0,3637.498,1220.836,1085.44,0
"131",1,17,9,1,0,0,1716.509,1253.439,5445.2,0
"132",1,28,11,1,0,0,0,1284.079,60307.93,0
"133",1,26,11,1,0,1,0,1392.853,1460.36,0
"134",1,20,11,1,0,0,16318.62,1484.994,6943.342,0
"135",1,24,11,1,0,1,824.3886,1666.113,4032.708,0
"136",1,31,9,1,0,0,0,1698.607,10363.27,0
"137",1,23,8,0,0,1,0,1713.15,4232.309,0
"138",1,18,10,1,0,0,2143.411,1784.274,11141.39,0
"139",1,29,12,1,0,0,10881.94,1817.284,0,1
"140",1,26,11,0,0,0,0,2226.266,13385.86,0
"141",1,24,9,1,0,0,9154.7,2288.675,4849.559,0
"142",1,25,12,1,0,0,14426.79,2409.274,0,1
"143",1,24,10,1,0,0,4250.402,2421.947,1660.508,0
"144",1,46,8,1,0,0,3165.658,2594.723,0,0
"145",1,31,12,0,0,0,0,2611.218,2484.549,1
"146",1,19,11,1,0,0,2305.026,2615.276,4146.603,0
"147",1,19,8,1,0,0,0,2657.057,9970.681,0
"148",1,27,11,1,0,0,2206.94,2666.274,0,0
"149",1,26,11,1,0,1,0,2754.646,26372.28,0
"150",1,20,10,1,0,0,5005.731,2777.355,5615.189,0
"151",1,28,10,1,0,0,0,2836.506,3196.571,0
"152",1,24,12,1,0,0,13765.75,2842.764,6167.681,1
"153",1,19,8,1,0,0,2636.353,2937.264,7535.942,0
"154",1,23,12,1,0,0,6269.341,3039.96,8484.239,1
"155",1,42,9,1,0,1,0,3058.531,1294.409,0
"156",1,25,13,1,0,0,12362.93,3090.732,0,1
"157",1,18,9,1,0,0,0,3287.375,5010.342,0
"158",1,21,12,1,0,0,6473.683,3332.409,9371.037,1
"159",1,27,10,1,0,0,1001.146,3550.075,0,0
"160",1,21,8,1,0,0,989.2678,3695.897,4279.613,0
"161",1,22,9,1,0,0,2192.877,3836.986,3462.564,0
"162",1,31,4,1,0,0,8517.589,4023.211,7382.549,0
"163",1,24,10,1,0,1,11703.2,4078.152,0,0
"164",1,29,10,1,0,0,0,4398.95,0,0
"165",1,29,12,1,0,0,9748.387,4878.937,10976.51,1
"166",1,19,10,0,0,0,0,5324.109,13829.62,0
"167",1,19,11,0,1,1,5424.485,5463.803,6788.463,0
"168",1,31,9,1,0,0,10717.03,5517.841,9558.501,0
"169",1,22,10,1,0,1,1468.348,5588.664,13228.28,0
"170",1,21,9,1,0,0,6416.47,5749.331,743.6666,0
"171",1,17,10,1,0,0,1291.468,5793.852,5522.788,0
"172",1,26,12,1,0,1,8408.762,5794.831,1424.944,1
"173",1,20,9,0,1,0,12260.78,5875.049,1358.643,0
"174",1,19,10,1,0,0,4121.949,6056.754,0,0
"175",1,26,10,1,0,0,25929.68,6788.958,672.8773,0
"176",1,28,11,1,0,0,1929.029,6871.856,0,0
"177",1,22,12,0,1,1,492.2305,7055.702,10092.83,1
"178",1,33,11,1,0,0,0,7867.916,6281.433,0
"179",1,22,12,0,0,0,6759.994,8455.504,12590.71,1
"180",1,29,10,0,1,0,0,8853.674,5112.014,0
"181",1,33,12,1,0,1,20279.95,10941.35,15952.6,1
"182",1,25,14,1,0,1,35040.07,11536.57,36646.95,1
"183",1,35,9,1,0,1,13602.43,13830.64,12803.97,0
"184",1,35,8,1,0,1,13732.07,17976.15,3786.628,0
"185",1,33,11,1,0,1,14660.71,25142.24,4181.942,0
"186",0,47,12,0,0,0,0,0,0,1
"187",0,50,12,1,0,1,0,0,0,1
"188",0,44,12,0,0,0,0,0,0,1
"189",0,28,12,1,0,1,0,0,0,1
"190",0,54,12,0,0,1,0,0,0,1
"191",0,55,12,0,1,1,0,0,0,1
"192",0,47,12,0,0,1,0,0,0,1
"193",0,25,12,1,0,0,0,0,0,1
"194",0,44,12,0,0,1,0,0,0,1
"195",0,50,12,1,0,1,0,0,0,1
"196",0,23,12,1,0,0,0,0,4728.725,1
